character_id,isDead_condition,anxietyLevel_condition,hasDiedDay_condition,headline_content,text_content
bestie,FALSE,X>75,NULL,Your best friend is ALIVE AND WELL,"You kept her focused when the panic set in. She followed your advice, made it to the sewer, and crossed the northern border. She is currently located in a refugee camp upstate, shaken but unharmed. She asks about you every day."
bestie,FALSE,X<=75,NULL,"Your best friend is ALIVE, BUT TRAUMATIZED","She made it out physically, but the fear took its toll. She is safe in a shelter, yet she refuses to sleep or eat. She is convinced the rescue is just another trap."
bestie,TRUE,anything,DAY2,Your best friend is DECEASED,"She sheltered in a supply closet, waiting for the situation to stabilize. The building was overrun before rescue teams could reach the campus. Maybe she should have run."
bestie,TRUE,anything,DAY3,Your best friend is MISSING,She boarded the 'Rescue Transport' bus. Tracking data indicates the vehicle bypassed the safe zone and moved on. The signal was lost shortly after.
mom,FALSE,X>75,NULL,Your mom is ALIVE AND WELL,"You gave her the strength to make the impossible choice. She left your father behind and descended into the drains just as the fire started to spread. She navigated the tunnels in the dark and emerged three miles past the blockade, alive. All thanks to you."
mom,FALSE,X<=75,NULL,"Your mom is ALIVE, BUT TRAUMATIZED","She escaped the city, but not the fright. She flinches at every shadow and scans every room for hidden dangers. You saved her life, but at what cost?"
mom,TRUE,anything,DAY1,Your mom is DECEASED,She went to the pharmacy to get flu medication for your dad. A violent riot broke out inside the store over supplies. She was lost in the chaos and never returned home.
mom,TRUE,anything,DAY3,Your mom is DECEASED,"She evacuated to the Stadium, following the official instructions for rescue. The facility was sealed for 'Containment Protocols' shortly after she arrived. No evacuees were released"
boyfriend,FALSE,X>75,NULL,Your partner is ALIVE AND WELL,"He left everything behind and went underground. The military bombed his building moments later, but he was already gone. He washed up in the riverbed outside the perimeter - dirty, shaken, but alive."
boyfriend,FALSE,X<=75,NULL,"Your partner is ALIVE, BUT TRAUMATIZED","He survived, but he learned your lessons too well. He trusts no one now - not the rescuers, not the doctors. He sits in his room with a weapon, waiting for a threat that isn't there."
boyfriend,TRUE,anything,DAY3,Your partner is DECEASED,He remained in his apartment to wait out the crisis. The military designated his sector as 'Compromised' on the final morning. The building was destroyed by an airstrike at dawn.